coin,fundingRate,premium,time
BTC,0.0000125,0.0004640521,1739404800081
BTC,0.0000125,0.0003786217,1739408400043
BTC,0.0000125,0.0005813487,1739412000027
BTC,0.0000125,0.0004819097,1739415600110
BTC,0.0000125,0.0005084401,1739419200076
BTC,0.0000125,0.0004725006,1739422800017
BTC,0.0000125,0.0005781209,1739426400037
BTC,0.0000125,0.0005123789,1739430000047
BTC,0.0000165782,0.0006326255,1739433600015
BTC,0.0000129711,0.0006037687,1739437200027
BTC,0.0000156387,0.0006251093,1739440800004
BTC,0.0000125,0.0005881207,1739444400029
BTC,0.0000125,0.0004728707,1739448000004
BTC,0.0000125,0.0002590279,1739451600036
BTC,0.0000125,0.0001339731,1739455200067
BTC,0.0000125,0.0002040347,1739458800042
BTC,0.0000125,0.0002830749,1739462400027
BTC,0.0000125,0.0001630656,1739466000053
BTC,0.0000125,0.0002578687,1739469600030
BTC,0.0000125,0.0002579062,1739473200001
BTC,0.0000125,0.0002848017,1739476800110
BTC,0.0000125,0.0003992832,1739480400048
BTC,0.0000125,0.0005727435,1739484000009
BTC,0.0000125,0.0005784013,1739487600052
BTC,0.0000125,0.0005499172,1739491200060
BTC,0.0000125,0.000593032,1739494800023
BTC,0.0000125,0.0003393415,1739498400000
BTC,0.0000125,0.0004593598,1739502000005
BTC,0.0000125,0.0003462522,1739505600118
BTC,0.0000125,0.0002051254,1739509200035
BTC,0.0000125,0.000293516,1739512800005
BTC,0.0000125,0.0004137361,1739516400016
BTC,0.0000125,0.0003280157,1739520000092
BTC,0.0000125,0.0003656677,1739523600077
BTC,0.0000125,0.0004317447,1739527200051
BTC,0.0000125,0.0003984695,1739530800062
BTC,0.0000125,0.0004344967,1739534400017
BTC,0.0000125,0.0002534845,1739538000060
BTC,0.0000125,0.000255725,1739541600058
BTC,0.0000125,0.0003612003,1739545200009
BTC,0.0000250966,0.0007007728,1739548800020
BTC,0.0000259885,0.0007079084,1739552400101
BTC,0.0000329604,0.0007636835,1739556000014
BTC,0.0000125,0.00024274,1739559600019
BTC,0.0000125,0.0001405594,1739563200004
BTC,0.0000125,0.0000687451,1739566800153
BTC,0.0000125,0.0001697524,1739570400106
BTC,0.0000125,0.0000538037,1739574000033
BTC,0.0000125,0.0000425406,1739577600062
BTC,0.0000125,-0.0001300325,1739581200096
BTC,0.0000125,-0.0000394275,1739584800092
BTC,0.0000125,0.000066398,1739588400035
BTC,0.0000125,-0.0000481836,1739592000013
BTC,0.0000125,-0.0001696974,1739595600019
